name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size (oz)
Rum Collins,Rum - Daiquiris,2 oz, Light Rum,1 oz, Fresh Lime Juice,1/2 oz, Simple Syrup, Soda water,,," Lemon wheel, maraschino cherry",,,"Shake rum, lime juice, and syrup with ice and strain into chilled Collins glass. Add several ice cubes, fill with soda water, and stir. Garnish with a lemon slice and a cherry. Serve with a straw.",Collins Glass,14
Seaboabd,Cocktail Classics,1 oz, Old Mr. Boston Blended Whiskey,1 oz, Old Mr. Boston Dry Gin,1 oz, Lemon Juice,1 oz, Powdered Sugar,,,,,Shake with ice and strain into old-fashioned glass over ice cubes. Garnish with mint leaves.,Old-Fashioned Glass,6
Rum Cobbler,Rum - Daiquiris,2 oz, Light Rum,1/4 oz, Simple Syrup,, Soda water, Generous amount of fresh seasonal fruit,,,,,,"In red-wine glass, stir rum and syrup. Top with soda water. Garnish with fruit and serve with a straw.",Red-Wine Glass,12
Robson Cocktail,Rum - Daiquiris,1 1/2 oz, Jamaica Rum,1/2 oz, Fresh lemon juice,1/2 oz, Fresh orange juice,1/4 oz, Grenadine,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Rio Fix,Rum - Daiquiris,2 oz, Absinthe or pastis,1 1/2 oz, Cachaca,1/2 oz, Maraschino liqueur,3/4 oz, Fresh Lime Juice,1/2 oz, Pineapple Juice,,,Pour pastis into chilled champagne flute and swirl to coat inside. Shake remaining ingredients with ice and strain into glass.,Champagne Flute,6
Ringo Starr,Rum - Daiquiris,3 oz, Red grapes,1/2 oz, Lemon,6,Fresh mint leaves,1 oz, Sugar cube,2 oz, African rum,,,"Muddle grapes, lemon, mint, and sugar in shaker. Add rum and ice and shake briefly. Strain into chilled old-fashioned glass.",Old-Fashioned Glass,6
Restless Native,Rum - Daiquiris,2 oz, Coconut rum,3/4 oz, White creme de cacao,1 1/2 oz, Fresh Lime Juice, Lime zest spiral,,,,1 1/2 oz, Light Rum,Shake with ice and strain into chilled cocktail glass. Garnish with a lime twist.,Cocktail Glass,6
Quarter Deck Cocktail,Rum - Daiquiris,1 1/2 oz, Light Rum,1/2 oz, Cream sherry,1/2 oz, Fresh Lime Juice,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Quaker's Cocktail,Rum - Daiquiris,3/4 oz, Light Rum,3/4 oz, Brandy,1/2 oz, Fresh lemon juice,1/4 oz, Raspberry Syrup,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Puerto Rican Rum Daisy,Rum - Daiquiris,1 1/2 oz, Dark rum,1/4 oz, Orange curacao,3/4 oz, Fresh lemon juice,1/2 oz, each Orange juice and simple syrup,1 oz, Angostura Bitters,," Freshly grated nutmeg, orange wheel",Shake with ice and strain into chilled cocktail glass. Top with nutmeg and garnish with an orange slice.,Cocktail Glass,6
